コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","10001710","薬用きよらかフォーム（洗顔）<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","10002654","ニュートリブレット ナイサーダイサー スマート付き！<br>【ショップジャパン】【Nutri bullet】<br>","その他","103","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","10002663","ウェーブストレッチ プラス<br> 【正規品】【ショップジャパン】【ウェーブ】【ウェーブストレッチリング】【ストレッチ】【リング】【エクササイズ】<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","10002678","大人のムード歌謡 デラックスBOX<br>【ショップジャパン】【歌謡曲】【昭和】【名曲】【石原裕次郎】【テレサテン】<br>","その他","999999992","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_crf","セラフィット お料理応援セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_ngw","【正規品】ながらウォーク　<br>【ショップジャパン】【骨盤運動】【ながら運動】<br>","その他","999999992","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_stp","スレンダートーン <br>【腹筋】【ショップジャパン】【筋トレ】【杉村太蔵】【巻くだけで腹筋】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_trs35","【正規品】 トゥルースリーパー ライト3.5 シングル <br>【True Sleeper】【マットレス】【低反発マットレス】","その他","161200001","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_wdc","【公式】ワンダーコア 単品 【腹筋】【ショップジャパン】【wondercore】<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_wdc_per","ワンダーコア パーフェクトセット <br>39日返品保証は当店だけ【腹筋】【ショップジャパン（SHOPJAPAN）】【wondercore】【正規品】【倒れるだけ】","その他","604","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","1703_wds","ワンダーコアスマート<br>39日返品保証は当店だけ！【送料無料】正規品 ショップジャパン wondercore ワンダーコア ワンダーコア2 通販 TVショッピング 倒れるだけ スマート 腹筋 マシン 筋トレ 座椅子 ダイエット 剛力彩芽","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","3dl","【送料無料】スターウォーズ（STAR WARS）3Dデコライト【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト LP","999999994","http://item.rakuten.co.jp/shopjapan/c/0000000643/","1"
"","3dl","【送料無料】スターウォーズ（STAR WARS）3Dデコライト【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト お買い物ページ","999999994","http://item.rakuten.co.jp/shopjapan/c/0000000653/","2"
"","3dl-hook","壁掛けフック（3Dデコライト用【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト お買い物ページ","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000653/","1"
"","3dl_mail","【送料無料】スターウォーズ（STAR WARS）3Dデコライト アイスクリームメーカー付き【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","アウトレットセール","999999986","http://item.rakuten.co.jp/shopjapan/c/0000000156/",""
"","3dlset","【送料無料】スターウォーズ（STAR WARS）3Dデコライトセット【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト LP","999999995","http://item.rakuten.co.jp/shopjapan/c/0000000643/","1"
"","3dlset","【送料無料】スターウォーズ（STAR WARS）3Dデコライトセット【ダースベイダー ヨーダ ボバフェット アナキン スカイウォーカー フォース】<br>","販売終了2\スターウォーズ 3Dデコライト お買い物ページ","999999995","http://item.rakuten.co.jp/shopjapan/c/0000000653/","2"
"","596971","【正規品】トゥルースリーパー　 エンジェルフィット ピロー<br>ショップジャパン<br>","寝具\トゥルースリーパー ピローシリーズ","999999991","http://item.rakuten.co.jp/shopjapan/c/0000000424/","1"
