コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","trsp-hcm","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　ひんやりカバー　セミダブル<br>【ショップジャパン】<br>","寝具\トゥルースリーパー ひんやりシリーズ","41","http://item.rakuten.co.jp/shopjapan/c/0000000602/","1"
"","trsp-hcs","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　ひんやりカバー　シングル <br>【ショップジャパン】<br>","寝具\トゥルースリーパー ひんやりシリーズ","40","http://item.rakuten.co.jp/shopjapan/c/0000000602/","1"
"","trsp-hcw","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　ひんやりカバー　ダブル<br>【ショップジャパン】<br>","寝具\トゥルースリーパー ひんやりシリーズ","42","http://item.rakuten.co.jp/shopjapan/c/0000000602/","1"
"","trsp-i3-fu","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>トゥルースリーパー プレミアム オリジナルカバー3枚セット アイボリー シングル【複数購入用】【送料無料】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-igm","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　やわらか天然い草パッド　ダブル<br>【ショップジャパン】<br>","寝具\トゥルースリーパー やわらか天然い草シリーズ","30","http://item.rakuten.co.jp/shopjapan/c/0000000601/","1"
"","trsp-igs","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　やわらか天然い草パッド　シングル<br>【ショップジャパン】<br>","寝具\トゥルースリーパー やわらか天然い草シリーズ","29","http://item.rakuten.co.jp/shopjapan/c/0000000601/","1"
"","trsp-kaitekiw","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《ご購入者様限定★40％OFF》<br>トゥルースリーパー プレミアム快適Wセット（選べるカバー3色）<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（セミダブル）<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","SALE＆キャンペーン\楽天ポイント企画エントリーページ","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000596/",""
"","trsp-m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（セミダブル）<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","寝具\トゥルースリーパー プレミアム","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000742/",""
"","trsp-m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（セミダブル）<br>【送料無料！】<br>【True Sleeper】【マットレス】【低反発マットレス】【ショップジャパン（SHOPJAPAN）】","寝具\トゥルースリーパー 商品ラインナップ","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
