コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,タグID,PC用キャッチコピー,モバイル用キャッチコピー,商品名,販売価格,表示価格,消費税,送料,個別送料,送料区分1,送料区分2,代引料,倉庫指定,商品情報レイアウト,注文ボタン,資料請求ボタン,商品問い合わせボタン,再入荷お知らせボタン,のし対応,PC用商品説明文,モバイル用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像URL,商品画像名（ALT）,動画,販売期間指定,注文受付数,在庫タイプ,在庫数,在庫数表示,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名,項目選択肢別在庫用残り表示閾値,RAC番号,サーチ非表示,闇市パスワード,カタログID,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,予約商品発売日,ポイント変倍率,ポイント変倍率適用期間,ヘッダー・フッター・レフトナビ,表示項目の並び順,共通説明文（小）,目玉商品,共通説明文（大）,レビュー本文表示,あす楽配送管理番号,サイズ表リンク,二重価格文言管理番号,カタログIDなしの理由,配送方法セット管理番号,白背景画像URL,メーカー提供情報表示
"","sale_trs-s3dp_out","TRSP35SS","508183","1003395/1003401/1003412/5000038","（Shop Japan公式）TVCM放映中！安心の日本製の低反発ウレタンマットレス♪トゥルースリーパー プレミアム3.5 シングル（シングル）<br>","","公式／トゥルースリーパー プレミアム3.5(シングル)　オリジナルカバー付<br>今なら送料無料！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド","13800","","0","1","","","","0","1","1","1","0","1","0","0","<div class=""spec"">
<table width=""100%"" cellpadding=""5"" cellspacing=""0"" border=""1"" bordercolor=""#e9e9e9"">
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">セット内容</td>
<td>本体（シングル）×1、カバー×1</td>
</tr>
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">サイズ</td>
<td>厚さ35×幅970×長さ1950mm</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">重量</td>
<td>約3.2kg</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">材質</td>
<td>【本体】ウレタンフォーム<br>
【専用内カバー】ポリエステル100%</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">保証書</td>
<td>１年間無料交換保証付（本体のみ）</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">製造国</td>
<td>本体：日本製 <br>
専用内カバー：中国製</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">送料</td>
<td>0円（税抜）</td>
</tr>
</table>
</div>
<br>
<div style=""width:390; background-color:#EEEEEE; padding:9px; font-size:0.9em; color:#333333; line-height:140%;""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart05.jpg"" alt=""ショップジャパン楽天市場店でのお買い物にあたって"" width=""390"" height=""22"" vspace=""5""><br>
<table width=""390"" border=""0"" cellpadding=""2"" cellspacing=""0"">
<tr>
<td><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000165/"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart06_b.jpg"" alt=""お支払い・配送"" width=""190"" height=""65"" border=""0""></a></td>
<td><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000223/"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart07_b.jpg"" alt=""よくあるご質問"" width=""190"" height=""65"" border=""0""></a></td>
</tr>
</table>
<table width=""390"" border=""0"" cellpadding=""2"" cellspacing=""0"">
<tr>
<td><a href=""https://www.rakuten.ne.jp/gold/shopjapan/faq/guide.html#q7"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart08_b.jpg"" alt=""返品保証について"" width=""190"" height=""65"" border=""0""></a></td>
<td><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000225/"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart09_b.jpg"" alt=""初めての方へ"" width=""190"" height=""65"" border=""0""></a></td>
</tr>
</table>
</div>
<br>
※こちらの商品はセール商品の為、<br>
「つかって納得保証（返品保証）」「1年間修理保証」はございません。<br>
予めご了承ください。<br><br />
<div style=""margin:15px 0; padding:0; width:410px; line-height:1.5em""><a href=""https://www.rakuten.ne.jp/gold/shopjapan/"">≫ ショップジャパン (ShopJapan) 楽天市場店TOPへ</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000484/"">≫ 倒れるだけで腹筋！ワンダーコア</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000628/"">≫ ワンダーコアがコンパクトに！ワンダーコア スマート</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000105/"">≫ 500万枚突破！低反発マットレス トゥルースリーパー プレミアム</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000607/"">≫ 最強EMS！スレンダートーン</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000671/"">≫ 3分ゆらゆら下っ腹シェイプ！ながらウォーク</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000718/"">≫ 驚くほどスベ～ル！セラフィット</a></div><div style=""border: 1px solid #555555; width:390px; padding:10px; font-size: 12px; color:#555;"">ショップジャパン（Shop Japan）はワンダーコア、ワンダーコアスマート、セラフィット、スレンダートーン、トゥルースリーパー、ながらウォークなど、TV通販でおなじみの商品をお届けします。</div>","","<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/sp_common.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/day.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/ss.css"">

<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/item/trs.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/item/trsｌ.css"">

<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/share/super/ss_out_pc_top.jpg"" width=""100%"">

<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trs35_kv_spv2.jpg"" width=""100%"">

<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/share/super/ss_wakeari.jpg""  width=""100%""><br>



<img src=""https://www.rakuten.ne.jp/gold/shopjapan/trs35/images/trcl_splp02.jpg"" width=""100%"">


<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/share/super/ss_wakeari.jpg""  width=""100%""><br>


<a href=""https://item.rakuten.co.jp/shopjapan/sale_trs-s3dp_out/#itemSpecification"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/share/super/trs35_out_sp.jpg"" width=""100%"" ></a><br><br>

<hr>
■セット内容／本体（シングル）×1、カバー×1<br>
■サイズ／厚さ35×幅970×長さ1950mm<br>
■重量／約3.2kg<br>
■材質／【本体】ウレタンフォーム<br>【専用内カバー】ポリエステル100%<br>
■保証書／１年間無料交換保証付（本体のみ）<br>
■製造国／本体：日本製 <br>専用内カバー：中国製<br>
■送料／0円（税抜）
<hr>

<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000165/#henpin"" target=""_blank"">■60日間返品保証についてはこちら</a>
<hr>
<a href=""https://www.rakuten.ne.jp/gold/shopjapan/"">≫ ショップジャパン (ShopJapan) 楽天市場店TOPへ</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000484/"">≫ 倒れるだけで腹筋！ワンダーコア</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000628/"">≫ ワンダーコアがコンパクトに！ワンダーコア スマート</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000105/"">≫ 500万枚突破！低反発マットレス トゥルースリーパー プレミアム</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000607/"">≫ 最強EMS！スレンダートーン</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000671/"">≫ 3分ゆらゆら下っ腹シェイプ！ながらウォーク</a><br> <a href=""https://item.rakuten.co.jp/shopjapan/c/0000000718/"">≫  驚くほどスベ～ル！セラフィット</a>
","<div id=""cart"" name=""cart""></div>","https://image.rakuten.co.jp/shopjapan/cabinet/share/super/ss_trs35.jpg https://image.rakuten.co.jp/shopjapan/cabinet/share/s2_postfree.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago01v2.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago02v2.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago03.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago04.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago05.jpg","トゥルースリーパーライト3.5 公式／トゥルースリーパープレミアム3.5(シングル)今なら送料無料！60日間返品保証！シングルショップジャパン公式正規品日本製マットレス寝具低反発ベッド 公式／トゥルースリーパープレミアム3.5(シングル)今なら送料無料！60日間返品保証！シングルショップジャパン公式正規品日本製マットレス寝具低反発ベッド 公式／トゥルースリーパープレミアム3.5(シングル)今なら送料無料！60日間返品保証！シングルショップジャパン公式正規品日本製マットレス寝具低反発ベッド 公式／トゥルースリーパープレミアム3.5(シングル)今なら送料無料！60日間返品保証！シングルショップジャパン公式正規品日本製マットレス寝具低反発ベッド 公式／トゥルースリーパープレミアム3.5(シングル)今なら送料無料！60日間返品保証！シングルショップジャパン公式正規品日本製マットレス寝具低反発ベッド 公式／トゥルースリーパープレミアム3.5(シングル)今なら送料無料！60日間返品保証！シングルショップジャパン公式正規品日本製マットレス寝具低反発ベッド","","","2","1","479","0","","","","199614-0010003414","0","","4537341044081","1","0","7","","","","","自動選択","自動選択","自動選択","自動選択","自動選択","2","","","","","","",""
"","trs-3dpm","TRS-M35P","508183","1003396/1003401/1003412/5000038","低反発マットレスで眠りを喜びに…<br>
トゥルースリーパー プレミアム3.5 セミダブル<br>","","公式／トゥルースリーパー プレミアム3.5(セミダブル)<br>今なら送料無料！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】","21600","","0","1","","","","0","0","1","1","0","1","0","0","<div class=""spec"">
<table width=""100%"" cellpadding=""5"" cellspacing=""0"" border=""1"" bordercolor=""#e9e9e9"">
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">セット内容</td>
<td>本体×1、専用内カバー×1</td>
</tr>
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">サイズ</td>
<td>厚さ35×幅1200ｘ長さ1950mm</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">重量</td>
<td>約3.9kg</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">材質</td>
<td>【本体】ウレタンフォーム<br>
【専用内カバー】ポリエステル100%</td>
</tr>
<tr valign=""top"" >
<td bgcolor=""#fffeef"">保証書</td>
<td>１年間無料交換保証付（本体のみ）</td>
</tr>
<tr valign=""top"" >
  <td bgcolor=""#fffeef"">製造国</td>
  <td>本体：日本製 <br>
専用内カバー：中国製</td>
</tr>
<tr valign=""top"" >
  <td bgcolor=""#fffeef"">送料</td>
  <td>0円（税抜）</td>
</tr>
</table>
</div>
<br>
<div style=""width:390; background-color:#EEEEEE; padding:9px; font-size:0.9em; color:#333333; line-height:140%;""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart05.jpg"" alt=""ショップジャパン楽天市場店でのお買い物にあたって"" width=""390"" height=""22"" vspace=""5""><br>
<table width=""390"" border=""0"" cellpadding=""2"" cellspacing=""0"">
<tr>
<td><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000165/"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart06_b.jpg"" alt=""お支払い・配送"" width=""190"" height=""65"" border=""0""></a></td>
<td><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000223/"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart07_b.jpg"" alt=""よくあるご質問"" width=""190"" height=""65"" border=""0""></a></td>
</tr>
</table>
<table width=""390"" border=""0"" cellpadding=""2"" cellspacing=""0"">
<tr>
<td><a href=""https://www.rakuten.ne.jp/gold/shopjapan/faq/guide.html#q7"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart08_b.jpg"" alt=""返品保証について"" width=""190"" height=""65"" border=""0""></a></td>
<td><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000225/"" target=""_blank""><img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/111020_trsp_cart09_b.jpg"" alt=""初めての方へ"" width=""190"" height=""65"" border=""0""></a></td>
</tr>
</table>
</div>
<br />
<font color=""#666666"" size=""2"">【検索用キーワード】
<br />
ショップジャパン / テレビショッピング / TVショップ / 正規販売店 / 通販 / ネットショップ / 安眠 / 低反発 / マットレス / 枕 / 睡眠 / 寝具 / トゥルースリーパープレミアム / ツルースリーパー / シングル / 低反発マットレス / 3.5cm /  マット /　トゥルースリーパー / プレミアム<br />
<div style=""margin:15px 0; padding:0; width:410px; line-height:1.5em""><a href=""https://www.rakuten.ne.jp/gold/shopjapan/"">≫ ショップジャパン (ShopJapan) 楽天市場店TOPへ</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000484/"">≫ 倒れるだけで腹筋！ワンダーコア</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000628/"">≫ ワンダーコアがコンパクトに！ワンダーコア スマート</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000105/"">≫ 500万枚突破！低反発マットレス トゥルースリーパー プレミアム</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000607/"">≫ 最強EMS！スレンダートーン</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000671/"">≫ 3分ゆらゆら下っ腹シェイプ！ながらウォーク</a><br><a href=""https://item.rakuten.co.jp/shopjapan/c/0000000718/"">≫ 驚くほどスベ～ル！セラフィット</a></div><div style=""border: 1px solid #555555; width:390px; padding:10px; font-size: 12px; color:#555;"">ショップジャパン（Shop Japan）はワンダーコア、ワンダーコアスマート、セラフィット、スレンダートーン、トゥルースリーパー、ながらウォークなど、TV通販でおなじみの商品をお届けします。</div>","","<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/sp_common.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/day.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/ss.css"">

<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/item/trs.css"">



<a　　　　　　　　　　　　　　　 class=""trsl_main_sp"">
<p></p></a　　　　　　　　　　　　　　　>

<a href=""https://coupon.rakuten.co.jp/getCoupon?getkey=SUNTWS1ZMlJULVNMTlotU0hDRQ--&rt="">
<a　　　　　　　　　　　　　　　 class=""trsl_coupon_sp"">
<p></p></a　　　　　　　　　　　　　　　></a>

<a　　　　　　　　　　　　　　　 class=""trsl_cp_sp"">
<p></p></a　　　　　　　　　　　　　　　>

<img src=""https://www.rakuten.ne.jp/gold/shopjapan/trs/images/sp/trsl_sp01.jpg"" width=""100%"">
<img src=""https://www.rakuten.ne.jp/gold/shopjapan/trsp/images/sp/trsp_renew_sp_04.jpg"" width=""100%"">

<a href=""https://item.rakuten.co.jp/shopjapan/trs-s3dp/#itemSpecification"">
<a　　　　　　　　　　　　　　　 class=""trsl_ts_sp"">
<p></p></a　　　　　　　　　　　　　　　></a>

<a href=""https://item.rakuten.co.jp/shopjapan/trs-3dpm/#itemSpecification"">
<a　　　　　　　　　　　　　　　 class=""trsl_tm_sp"">
<p></p></a　　　　　　　　　　　　　　　></a>

<a href=""https://item.rakuten.co.jp/shopjapan/trs-w3dp/#itemSpecification"">
<a　　　　　　　　　　　　　　　 class=""trsl_tw_sp"">
<p></p></a　　　　　　　　　　　　　　　></a>

<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000425/"">
<img src=""https://www.rakuten.ne.jp/gold/shopjapan/trsp/images/sp/trsp_lineup.jpg"" width=""100%""></a>



<hr>
■セット内容／本体×1、専用内カバー×1<br>
■サイズ／【本体】厚さ35×幅1200ｘ長さ1950mm<br>
■重量／約3.9kg<br>
■材質／【本体】ウレタンフォーム<br>
【専用内カバー】ポリエステル100%<br>
■保証書／１年間無料交換保証付（本体のみ）<br>
■製造国／本体：日本製 <br>
専用内カバー：中国製<br>
■送料／0円（税抜）
<hr>
<font color=""#CC0000"" size=""1"">※当社の都合により、キャンペーン内容・期間が変更および終了になる場合がございますので予めご了承ください。</font>
<hr>
<a href=""https://www.rakuten.ne.jp/gold/shopjapan/"">≫ ショップジャパン (ShopJapan) 楽天市場店TOPへ</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000484/"">≫ 倒れるだけで腹筋！ワンダーコア</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000628/"">≫ ワンダーコアがコンパクトに！ワンダーコア スマート</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000105/"">≫ 500万枚突破！低反発マットレス トゥルースリーパー プレミアム</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000607/"">≫ 最強EMS！スレンダートーン</a><br>
<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000671/"">≫ 3分ゆらゆら下っ腹シェイプ！ながらウォーク</a><br> <a href=""https://item.rakuten.co.jp/shopjapan/c/0000000718/"">≫  驚くほどスベ～ル！セラフィット</a>
","","https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/1612_s1_m.jpg https://image.rakuten.co.jp/shopjapan/cabinet/share/s2_postfree.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago01v2.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago02v2.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago03.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago04.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp35/trsl35_kago05.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trsp2/130902_cart3_60.jpg","トゥルースリーパーライト3.5 公式／トゥルースリーパープレミアム3.5(セミダブル)今なら送料無料！60日間返品保証！【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】 公式／トゥルースリーパープレミアム3.5(セミダブル)今なら送料無料！60日間返品保証！【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】 公式／トゥルースリーパープレミアム3.5(セミダブル)今なら送料無料！60日間返品保証！【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】 公式／トゥルースリーパープレミアム3.5(セミダブル)今なら送料無料！60日間返品保証！【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】 公式／トゥルースリーパープレミアム3.5(セミダブル)今なら送料無料！60日間返品保証！【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】 公式／トゥルースリーパープレミアム3.5(セミダブル)今なら送料無料！60日間返品保証！【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】 公式／トゥルースリーパープレミアム3.5(セミダブル)今なら送料無料！60日間返品保証！【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】","","","2","1","99984","0","","","","199614-0010003496","0","","4537341025011","1","0","27","","","","","自動選択","自動選択","自動選択","自動選択","自動選択","2","","","","","","",""
