項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,タグID,画像URL
"","wdt","i","","","カラーをお選びください","","アクアブルー","WDT-NHKB","0","99963","0","0","26","","",""
"","wdt","i","","","カラーをお選びください","","チェリーピンク","WDT-NHKP","0","99950","0","0","26","","",""
"","wdt","i","","","カラーをお選びください","","ブラウン","WDT-NHKC","0","99842","0","0","26","","",""
"","wdt","i","","","カラーをお選びください","","ライムグリーン","WDT-NHKG","0","99943","0","0","26","","",""
"","wdt_mat","i","","","カラーをお選びください","","アクアブルー","WDT-NMHB","0","99991","0","0","26","","",""
"","wdt_mat","i","","","カラーをお選びください","","チェリーピンク","WDT-NMHP","0","99992","0","0","26","","",""
"","wdt_mat","i","","","カラーをお選びください","","ブラウン","WDT-NMHC","0","99973","0","0","26","","",""
"","wdt_mat","i","","","カラーをお選びください","","ライムグリーン","WDT-NMHG","0","99983","0","0","26","","",""
