コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,在庫数
"","px000153","PX000153","401612","0"
"","px000154","PX000154","401612","0"
"","px000155","PX000155","401612","0"
"","px000156","PX000156","401612","0"
"","px000157","PX000157","401612","0"
"","px000159","PX000159","401612","0"
"","px0001ring","","401612",""
"","rah-ans","RAH-NT2E","408119","0"
"","rah-char","RAH-CHAR","408119","99999"
"","rah-ndxx"," ","408119",""
"","rah-ryo"," ","408119",""
"","rah_ma1","USRAH2AA","408119","7"
"","rah_mb1","USRAH2BB","408119","1"
"","rbt_test","","563337","0"
"","rca-2l--","RCA-2L--","216307","99961"
"","rca-ban","RCA-BAN","112849","99736"
"","rca-bbs","RCA-BBS","100962","0"
"","rca-bcg","RCA-BCG","405115","0"
"","rca-cn","RCA-CN","216424","99978"
"","rca-fn","RCA-FNPP","405130","0"
"","rca-fnpp","RCA-FN","405130","99982"
"","rca-gn","RCA-GN","216424","99939"
"","rca-ln","RCA-LN","216307","99777"
"","rca-mntr","RCA-FNPP","405130","99794"
"","rca-npen","RCA-NPEN","100627","99999"
"","rca-pn","RCA-PN","503044","99995"
"","rca-r","RCA2-DA-","216307","0"
"","rca-set","RCA1-DA-","405130","99978"
"","rca1-flf","RCA1SETC","405130","99997"
"","rca1-staf","RCA1SETA","405130","99991"
"","rca1-stbf","RCA1SETB","405130","99999"
"","rca2-flf","RCA2SETC","405130","99997"
"","rca2-staf","RCA2SETA","405130","99991"
"","rca2-stbf","RCA2SETB","405130","99999"
"","rrg-bstn","RRG-BSTN","301512","99999"
"","rrg-sman","RRG-SMAN","301512","99998"
"","rrg-st4n","RRG-ST4N","301462","99994"
"","rst-n2xx","RST-N2XX","203217","0"
"","rst-nxxx","RST-NXXX","203217","0"
"","rvt-n37k","RVT-N37K","204170","99989"
"","rvt-nbag","RVT-NBAG","101870","99999"
"","rvt-ndxx"," ","204170",""
"","rvt-nsan","RVT-NSAN","204170","99989"
"","rvt-nset","RVT-NSET","204170","99999"
"","rvt-per"," ","204170",""
"","rvt-tukai"," ","204170",""
"","rvt-wizh","RVT-WIZH","101870","99995"
"","rvt_ma1","USRVTTAM","204170","0"
"","rvt_mb1","USRVTTBM","204170","0"
"","rvt_out_1709","US-RVTXX","204170","23"
"","s2o-wake200","S2OXS200","101837","99990"
"","s2o-wake50","S2OXXS50","101837","99990"
"","sal-e","CRM-S0SP","302623","0"
"","sale_1703_ngw01","NGWPSS3H","302623","13"
"","sale_1703_ngw02","NGWPSS3H","302623","13"
"","sale_1703_ngw03","NGWPSS3H","302623","15"
"","sale_1703_ngw04","NGWPSS3H","302623","9"
"","sale_1703_ngw05","NGWPSS3H","302623","15"
"","sale_1703_ngw06","NGWPSS3H","302623","19"
"","sale_1703_stp01","STP-MDMR","204692","15"
"","sale_1703_stp02","STP-MDMR","204692","16"
"","sale_1703_stp03","STP-MDMR","204692","20"
"","sale_1703_stp04","STP-MDMR","204692","14"
"","sale_1703_stp05","STP-MDMR","204692","17"
"","sale_1703_wds01","","204695",""
"","sale_1703_wds02","","204695",""
"","sale_1703_wds03","","204695",""
"","sale_1703_wds04","","204695",""
"","sale_1703_wds05","","204695",""
"","sale_1703_wds06","","204695",""
"","sale_1703_wds07","","204695",""
"","sale_awfm_1612","AWFM12SS","564331","99999"
"","sale_crf-cfpt","CRF179SS","215913","188"
"","sale_crf_1612","CRF-YADB","215913","300"
"","sale_crff_1612","CRFF-ADA","559247","99999"
"","sale_hd30_1612","HI12SS30","111908","99999"
"","sale_hd30_1612_time_l","HI12SS30","111908","63"
"","sale_lgmc-total","","302623",""
"","sale_lgmc-total01","","302623",""
"","sale_lgmc-total02","","302623",""
"","sale_lgmc-total_m","","302623",""
"","sale_lgmc_1612_time_l","","302623",""
"","sale_mop-pro_1612","SMP-12SS","565105","99999"
"","sale_ngw-mat","NGWPM761","302623","99993"
"","sale_ntt_1612_time_1206","NTR-12SS","212401","0"
"","sale_ntt_1612_time_l","NTR-12SS","212401","0"
"","sale_nue_1612","NUE-NSGS","212595","99999"
"","sale_nue_1612_time_l","NUE-NSGS","212595","86"
"","sale_sale_trs45_1612","TRSL45GS","508183","99999"
"","sale_srct-sen","SRCT17SS","565105","0"
"","sale_ssp-sp_1212","SSP-NPT9","100181","99999"
"","sale_swt_1612","SWT-SYSS","201725","99999"
"","sale_trce-s_1612","TRCERAGS","508183","99999"
"","sale_trce-s_1612_time_l","TRCERAGS","508183","97"
"","sale_trs-s3dp","","508183","1"
"","sale_trs-s3dp01","TRSL-NSX","508183","99991"
"","sale_trs-s3dp02","TRSL-NSX","508183","99993"
"","sale_trs-s3dp03","TRSL-NSX","508183","99992"
"","sale_trs-s3dp04","TRSL-NSX","508183","99994"
"","sale_trs-s3dp05","TRSP35SS","508183","46"
"","sale_trs-s3dp06","TRSP35SS","508183","44"
"","sale_trs-s3dp07","TRSP35SS","508183","46"
"","sale_trs-s3dp08","TRSP35SS","508183","44"
"","sale_trs-s3dp09","TRSP35SS","508183","46"
"","sale_trs-s3dp_out","TRSP35SS","508183","479"
"","sale_trs45_1612","","508183","1"
"","sale_trs45p_1612","TRSL35OK","508183","0"
"","sale_trsp_1612","TRSPRAGS","508183","100"
"","sale_trsp_1612_time_l","TRSPRAGS","508183","6"
"","sale_trssf3dp","TRS35N20","508183","0"
"","sale_wdc","","204695",""
"","sale_wdc-pers","","204695",""
"","sale_wdc2","WDC2-NHK","204695","199"
"","sale_wds","","204695",""
"","sale_wds_1612_a","WDS12SSA","200181","200"
"","sale_wds_1612_b","WDS12SSB","200181","99999"
"","sale_wds_1612_b_time_l","WDS12SSB","200181","0"
"","sale_wds_pers-ss","","204695",""
"","sam-e","CRM-S0SF","302623","0"
"","sck-x3xx"," ","403725",""
"","sck-xxxx"," ","403725",""
"","sdb-30","SDB-RABS","302623","0"
"","sdb-set3","SDB-RAB7","302623","0"
"","sdb-ubs0","SDB-UBS0","204695","99999"
"","secx_tan","","403774",""
"","sf-ac1ra","SF-AC1RA","204692","0"
"","sf-am3xf","SF-AM3XF","204692","99994"
"","sfb","","302623",""
"","sfb-nmat","SFBNMATX","302623","99975"
"","sfs","SFS-1612","401519","99979"
"","sfs-2p28","SFS-2P28","401519","99530"
"","sfs-cont","SFS-CONT","564982","99941"
"","sfs-r114","SFS-R114","208797","99899"
"","sfs-seta","SFSSETNS","401519","99978"
"","sfs_ma1","USSFSTAS","401519","21"
"","sfs_mb1","USSFSTBS","401519","28"
"","sim","SIMMWEDB","509412","99980"
"","sim_1712","RAK-SIMU","509412","102"
"","sim_1712_a","RAK-SIMU","509412","13"
"","sim_1712_b","RAK-SIMU","509412","42"
"","sim_1712_c","RAK-SIMU","509412","91"
"","sim_1712_t","RAK-SIMU","509412","119"
"","sim_ad","SIMMADDT","509412","50"
"","sim_d","SIMM1298","509412","99999"
"","sim_dgb","SIM-DTGR","101878","99957"
"","sim_dx","SIMDWEDB","509412","99971"
"","sim_dx2","SIMDX216","509412","99998"
"","sim_k","SIM-KOKF","509412","99995"
"","sim_ld","SIM-30AR","509412","29"
"","sim_ma1","USSIMTAA","509412","5"
"","sim_mb1","USSIMTBB","509412","0"
"","sim_p","SIMM9980","509412","99999"
"","sim_plwh","SIMWHITE","509412","25"
"","sim_s1y","SIM-1YEF","509412","99988"
"","sim_s2y","SIM-2YEF","509412","99993"
"","sim_t","SIM-TNGF","509412","0"
"","sim_tgl","TANG-JGP","101878","0"
"","sim_wk","FK-SIMNX","509412","99322"
"","sim_wk_ad","FK-SIMNX","509412","99998"
"","sjd-3sez","SJD-4SNS","216027","99999"
"","sjd-g","SJD-N3WD","216027","99848"
"","sjd-ie","SJD-N4S0","216027","99993"
"","sjd-n01x","SJD-N01X","216027","99908"
"","sjd-n02x","SJD-N02X","216027","99968"
"","sjd-n03x","SJD-N03X","216027","99953"
"","sjd-n04x","SJD-N04X","216027","99939"
"","sjd-n3dx","SJD-N3SX","216027","99999"
"","sjd-osjs","SJD-OSJS","216027","99999"
"","sjd-w","SJD-N6SW","216027","99987"
"","slsm-ndv","SLSM-NDV","200535","99999"
"","sltc","SLTC-NR0","204692","99992"
"","sltc_1219","RAK-SLTC","204692","99999"
"","sltc_1219a","RAK-SLTC","204692","99998"
"","sltc_copy","SLTC-NRX","204692","99999"
"","sltc_pad","SLTCNR40","204692","99999"
"","sltc_pad5","SLTCNR60","204692","99999"
"","smar-danb","WDS-NDNB","101888","99993"
"","smm-rak1","SMM-RAK1","401611","0"
"","smn-n222","SMN-N222","212595","0"
"","smn-nadp","SMN-ADP3","212595","99999"
"","smn-nset","SMNN30AT","212595","0"
"","smn-nxxx","SMN-N998","212595","0"
"","smn_mail","SMNN3000","212595","0"
"","smp","SMP-PNKX","565105","99999"
"","smp-wkxx","SMP-WKXX","401612","0"
"","smp02","SMP-PADS","565105","99999"
"","snt","","203037",""
"","soups_bh17","FK-SOUPS","111908","20"
"","soups_out17","FK-SOUPS","111908","79"
"","sp-amtxr","STP-ABRX","204692","99945"
"","sp-amtxr_1219","RAK-STPA","204692","99991"
"","sp-amtxr_1219a","RAK-STPA","204692","99996"
"","sp-amtxr_ad","STP-ABRF","204692","490"
"","sp-amtxr_bb","STP02ARF","204692","50"
"","sp-amtxr_copy","STP02ARF","204692","99988"
"","sp-amtxr_test","STP02ARF01","204692","0"
"","sp-rmtxr","STP06ARF","204692","99998"
"","sp-sstxr","STP-HIP0","204692","99967"
"","spdw-mat","SPDW-MAT","407737","0"
"","spdw-nnb","SPDW-NN9","407736","99965"
"","spmat"," ","100985",""
"","spmatswb","SPMATSWB","101885","99980"
"","spr_1612kan","","212585","0"
"","spr_mail","SPRSPG50","212585","0"
"","sprzb","SPR-NRPX","563337","4"
"","sps-dxkh","SPS-FKSU","100796","0"
"","sps-l","SPS-L","564982","0"
"","sps-s","SPS-DSXX","564982","0"
"","sps-ss","SPS-RAXX","100796","126"
"","spwj-100","SPWS-10N","200486","99993"
"","spwj-ds","SPWS-TPS","212400","99872"
"","spws-ofb","SPWS-OFN","100204","99995"
"","sqc","SQC-9900","215927","99992"
"","sqc-asag","SQC-ASAG","215927","99999"
"","sqc-flyb","SQC-FLYB","101836","99996"
"","sqc-set","SQCRSSTK","215927","98"
"","sqc-stmr","SQC-STMR","101836","99998"
"","sqm","SQM-NDBX","302623","99935"
"","sqm0_1712_t","RAK-SQM0","302623","38"
"","sra","SRA-16XX","208215","0"
"","srct-n2x","SRCT-N2X","565105","0"
"","srct-nda","SRCT-NDA","565105","5"
"","srct-nnz","SRCT-NNZ","565105","5"
"","srct-np3","SRCT-NP3","565105","5"
"","srct-npc","SRCT-NPC","565105","5"
"","srct-npt","SRCT-NPT","565105","5"
"","srct-nud","SRCT-NUD","565105","5"
"","srct-sc1","SRCT-N5X","565105","0"
"","srct-sc2","SRCT-NXX","565105","0"
"","srct-sen","SRCT-NNF","565105","99998"
"","srct-sey","SRCT-N5F","565105","0"
"","srct-ssset","","565105","10"
"","srct-tan","SRCT-NN5","565105","99999"
"","ss-a-xxx","SS-A-XXX","204692","99986"
"","ss-am-f","SS-AM--F","204692","99976"
"","ss-chrgx","SS-CANDC","204692","99968"
"","ss-ctrlr","SS-CTRLR","204692","99958"
"","ss-p-xxx","SS-P-XXX","204692","0"
"","ss-r-xxx","SS-R-XXX","204692","99997"
"","ss-rm-f","SS-RM--F","204692","99964"
"","ssa","SSA-NXXX","401612","99999"
"","ssa-1008","SSA-1008","401612","0"
"","ssa-c3sx","SSA-C3SX","401612","99999"
"","ssa-ndzx","SSA-NDSX","401612","0"
"","ssa-ndzx0401","SSA-NDSX","401612","1"
"","ssa-ndzxtest","SSA-NDSX","401612","0"
"","ssa-np3x","SSA-NP3X","100181","0"
"","ssa-nvzx","SSA-NVSX","401612","99999"
"","ssa-nvzx0401","SSA-NVSX","401612","1"
"","ssa-nvzxtest","SSA-NVSX","401612","1"
"","ssa-p3sx","SSA-P3SX","401612","99999"
"","ssa0401","SSA-NXXX","401612","1"
"","ssab-01","SSAB-NSP","401612","99999"
"","ssab-nst","SSAB-NST","100181","99999"
"","ssab-nx4","SSAP-RSZ","101839","0"
"","ssab-ojs","SSAB-OJS","401612","99999"
"","ssap-n3p","SSAP-N3P","100181","0"
"","ssap-nbp","SSAP-NX2","401612","99999"
"","ssap-ndp","SSAP-RDZ","101839","0"
"","ssap-nht","SSAP-NHT","101839","0"
"","ssap-nsp","SSAP-RXZ","101839","0"
"","ssap-wksp","FK-SSAPS","101839","1"
"","ssap-wktn","FK-SSAPB","101839","0"
"","ssapbost","SSAPBOST","101839","0"
"","ssasptest","SSA-NBPX","401612","0"
"","ssatest","SSA-NXXX","401612","1"
"","ssca_100","SSCAN22U","101765","99998"
"","ssca_50","SSCAN19X","101765","99998"
"","ssp-3pdx","SSP-3PDX","401612","99983"
"","ssp-atnt","SSP-ATNT","401612","0"
"","ssp-bkxx","SSP-BKXX","401612","99999"
"","ssp-deluxe","","100181",""
"","ssp-gentei","","100181",""
"","ssp-hssp","SSP-HSSP","401612","111"
"","ssp-hsxx","SSP-HSXX","401612","0"
"","ssp-scrp","SSP-SCRP","100181","99986"
"","ssp-skpd","SSP-SKPD","401612","99999"
"","ssp-sp"," ","100181",""
"","ssp-sp_deal","","100181",""
"","ssp-spsptest","","401612","0"
"","ssp-ss","SSP-SVRA","401612","0"
"","ssp-ss2","SSP-SVRA","401612","1"
"","ssp-sscv"," ","100181",""
"","ssp-sscvtest","","401612",""
"","ssp-ttpd","SSP-TTPD","401612","0"
"","ssp-wake-s","SSP-NPS9","100181","686"
"","ssp-wake-t","SSP-NPT9","100181","542"
"","ssp-yyk","SSP-RAKB","401612","820"
"","ssp1202","","401612",""
"","ssp_pad","","100181","1"
"","sspzb","","563337","5"
"","st-0aftr","ST-0AFRR","401612","0"
"","st-0amtr","ST-0AMRR","401612","0"
"","st-0cont","ST-0CONT","401612","99999"
"","st-0rftr","ST-0RFRR","401612","99999"
"","st-0rmtr","ST-0RMRR","401612","0"
"","st-0smtr","ST-0SMRR","401612","99999"
"","st-0sstr","ST-0SSRR","401612","99999"
"","st-0sypc","ST-0SYPC","401612","0"
"","st-aft3n"," ","204692",""
"","st-bexxe","STP08ARR","204692","97414"
"","st-pvmsr","","204692",""
"","st-r0amr","","204692",""
"","st-r0mar","","204692",""
"","st-r0ssr","","204692",""
"","st-raku","","204692",""
"","st-rft3n"," ","204692",""
"","st-smt3n"," ","204692",""
"","st-total","","302623",""
"","stas-kkd","STAS-KKD","401612","99999"
"","staszb","","563337","5"
"","stcl-best","STCLNTBS","101839","99873"
"","stcl-nma","STCLNMBS","101839","99874"
"","stcl_tnp","STCL-NSF","101839","99736"
"","stcl_tnp_1219","RAK-STCL","101839","99995"
"","stcl_tnp_1219a","RAK-STCL","101839","99995"
"","ste-mrn","","204692",""
"","ste_sswm","","204692","0"
"","steaf-p0","STEAF-P0","204692","99995"
"","steam-3p","STPAM-30","204692","99958"
"","steam-5p","STPAM-50","204692","99972"
"","steam-pe","STEAM-P0","204692","99958"
"","steex-3p","STPEX-30","204692","99318"
"","steex-5p","STPEX-50","204692","99697"
"","steex-pe","STEEX-P0","204692","99803"
"","stesx-3p","STPBX-3X","204692","99959"
"","stesx-5p","STPBX-5X","204692","99992"
"","stesx-pe","STPBX-PX","204692","99983"
"","stmp","STMP-NX2","401612","99804"
"","stmp_1219","RAK-STMP","401612","99997"
"","stmp_1219a","RAK-STMP","401612","99999"
"","stmp_1712_t","STMP-NX2","401612","9978"
"","stmp_best","STMP-NB2","401612","99951"
"","stmp_m3","STMP-NPA","401612","99998"
"","stmp_m30","STMP-NPT","401612","99980"
"","sto001","","403923",""
"","sto002","","502556",""
"","sto003","","553029",""
"","sto004","","502556",""
"","sto005","","502556",""
"","sto006","","502556",""
"","sto007","","403923",""
"","sto008","","403923",""
"","sto009","","403923",""
"","sto010","","403923",""
"","sto011","","403923",""
"","sto012","","403923",""
"","sto013","","502556",""
"","sto014","","403923",""
"","sto015","","502556",""
"","sto016","","206440",""
"","sto017","","206440",""
"","stp-barab","STPBARB0","204692","99999"
"","stp-fit0","FITS1580","204692","47"
"","stp-pad3","STP-PD30","204692","99987"
"","stp-pad3_ld","STP-LEP3","204692","297"
"","stp-pad5","STP-PD50","204692","99993"
"","stp-woman","","204692",""
"","stp160805","stp160805","204692","0"
"","stp3_1712_t","RAK-STP3","204692","184"
"","stp_b","","204692",""
"","stp_gold1","STP02ARF","204692","99999"
"","stp_ld","STP-ABR0","204692","100"
"","stp_out17","FK-STPSP","204695","0"
"","stp_out17_b","FK-STPSP","204695","0"
"","stp_padset","STP04ARF","204692","0"
"","stp_rtg30cta","STPRTGX0","204692","90"
"","stpabc30","STPABC30","204692","1"
"","stpaf-30","STPAF-30","204692","99993"
"","stpaf-50","STPAF-50","204692","99998"
"","stpbhsb0","STPBHSB0","204692","99999"
"","stpbpat0","STPBPAT0","204692","0"
"","stpper30","STPRGP0","204692","0"
"","stppf_rtg30cta","STPRTGP0","204692","97"
"","stpsarb0","STP-PER0","204692","99994"
"","stpwake1","","204692",""
"","suc","SUC-NETC","565105","0"
"","suit_1219","RAK-FSUT","204695","93"
"","suit_1219a","RAK-FSUT","204695","96"
"","swcf","","101839",""
"","swcf-i","","401612",""
"","swcf-nbt","SWCF-NBT","101839","99991"
"","swcf-test01","","401612",""
"","swcf-yyk","","401612",""
"","swcf_tnp","","101839",""
"","swcf_tnp_1219","","101839",""
"","swcf_tnp_1219a","","101839",""
"","swcf_wk","","101839",""
"","swcf_wk_ad","","101839",""
"","swcl"," ","565105",""
"","swcl-a","","565105",""
"","swcl-w","","565105",""
"","swcl_wkdb","","565105",""
"","swcl_wktn","","565105",""
"","swg2-b"," ","100181",""
"","swg2-dset","","565105",""
"","swg2-dtw"," ","565105",""
"","swg2-syb","","565105",""
"","swp","SWP-N","565105",""
"","swp-a","SWP-NA","565105",""
"","swp-astk","","565105",""
"","swp-n","SWP-N","565105",""
"","swp-nstk","SWP-N","565105",""
"","swp-s","","565105",""
"","swp-wstk","","565105",""
"","swp_ss01","","565105","5"
"","swt"," ","407736",""
"","swt_1612","","201725","1"
"","swt_syo1","SWT0SYO1","201725","99995"
"","swt_syo2","SWT-SYO3","201725","0"
"","syu_tan","STK-XXN1","508183","0"
"","tas","TAS-BSC1","210412","99995"
"","tbs","TBS-NBSK","563337","99977"
"","tbs-d","TBS-NBSD","563337","99915"
"","tbs-d-tan","TBS-NDDK","563337","99960"
"","tbs-d-w","TBS-NDD3","563337","99903"
"","tbs-nbrs","TBS-NBRS","100181","99950"
"","tbs-w","TBS-NBSD","563337","0"
"","tcp-ta","TCP-TA","562667","0"
"","test-0907","","508183",""
"","test_spec","","302623","0"
"","time_crf","CRF-3D02","215927","99999"
"","time_st-aft3n","","204692",""
"","time_swp","","565105",""
"","tmc-nas","","101888",""
"","tmc-nhj","","101888",""
"","tmc-nhz","","101888",""
"","tmc-nta","","101888",""
"","tmc-ntj","","101888",""
"","tmc-ntz","","101888",""
"","tngs","TRSK-NGS","215644","0"
"","tnt_dum","TNT-RG7X","101876","99998"
"","tnt_exp","TNT-SEKX","101885","99996"
"","tpbg_1712_t","RAK-TPBG","215644","18"
"","tpbi_1712_t","RAK-TPBI","215644","21"
"","tpog_1712_t","RAK-TPOG","215644","20"
"","tpoi_1712_t","RAK-TPOI","215644","14"
"","tr7p","TR7P-NS0","205582","99979"
"","tr7p-c2s","TR7P-CS0","205582","99989"
"","tr7p-c2w","TR7P-CW0","205582","99997"
"","tr7p-cts","TR7P-OCS","215663","99999"
"","tr7p-ctw","TR7P-OWS","215663","99998"
"","tr7p-w","TR7P-NW0","205582","99998"
"","trbp_1712_t","RAK-TRBP","215644","70"
"","trce-d","TRCE-DWT","508183","99975"
"","trce-d-2","TRCE-NWW","508183","99998"
"","trce-d-c2","TRCE-WKI","508183","99995"
"","trce-d-cp","TRCEWKPI","508183","99998"
"","trce-d-non","TRCECTPW","508183","5"
"","trce-d_m","TRCE-DRW","508183","99999"
"","trce-de-mm","TRCEHDMM","508183","99999"
"","trce-de-mw","TRCEHDMW","508183","99998"
"","trce-de-sm","TRCEHDSM","508183","99994"
"","trce-de-ss","TRCEHDSS","508183","99989"
"","trce-de-sw","TRCEHDSW","508183","99992"
"","trce-de-ww","TRCEHDWW","508183","99998"
"","trce-s","TRCE-DST","508183","99973"
"","trce-s-2","TRCE-NSS","508183","99994"
"","trce-s-c2","TRCE-SKI","508183","99995"
"","trce-s-cp","TRCESKPI","508183","99993"
"","trce-s-non","TRCECTPS","508183","5"
"","trce-s_1612","","508183","1"
"","trce-s_m","TRCE-DRS","508183","99998"
"","trce-sd","TRCE-DMT","508183","99984"
"","trce-sd-2","TRCE-NMM","508183","99996"
"","trce-sd-c2","TRCE-MKI","508183","99994"
"","trce-sd-cp","TRCEMKPI","508183","99996"
"","trce-sd-non","TRCECTPM","508183","5"
"","trce-sd_m","TRCE-DRM","508183","99998"
"","trce35_m","TRCEM35D","508183","10"
"","trce35_s","TRCES35D","508183","10"
"","trce35_w","TRCEW35D","508183","10"
"","trce_1","TRCECKSS","508183","99999"
"","trce_2","TRCECKSM","508183","99999"
"","trce_3","TRCECKSW","508183","99999"
"","trcectbm","TRCECTBM","508183","99999"
"","trcectbm_teika","TRCECTBM","508183","5"
"","trcectbs","TRCECTBS","508183","99999"
"","trcectbs_teika","TRCECTBS","508183","5"
"","trcectbw","TRCECTBW","508183","99999"
"","trcectbw_teika","TRCECTBW","508183","5"
"","trcectsm","TRCECTPM","508183","99999"
"","trcectsm_teika","TRCECTPM","508183","5"
"","trcectss","TRCECTPS","508183","99999"
"","trcectss_teika","TRCECTPS","508183","5"
"","trcectsw","TRCECTPW","508183","99999"
"","trcectsw_teika","TRCECTPW","508183","5"
"","trcs-c2","TRCF-NSS","508183","99968"
"","trcs-c2m","TRCSNCMI","508183","99986"
"","trcs-c2q","TRCSNCQI","508183","99997"
"","trcs-c2s","TRCSNCSI","508183","99977"
"","trcs-c2w","TRCSNCWI","508183","99992"
"","trcs-cm2","TRCF-NMM","508183","99997"
"","trcs-cw2","TRCF-NWW","508183","99999"
"","trcs-g","TRCF-NSC","508183","99982"
"","trcs-m2s","TRCS-SC2","508183","0"
"","trcs-mm","TRCS-NMM","508183","99996"
"","trcs-ms","TRCSSC2M","508183","0"
"","trcs-pm","TRCSSPSM","508183","0"
"","trcs-ppm","TRCS-SGM","508183","0"
"","trcs-pps","TRCS-SG","508183","0"
"","trcs-ppw","TRCS-SGW","508183","0"
"","trcs-ps","TRCS-SPS","508183","0"
"","trcs-pw","TRCSSPSW","508183","0"
"","trcs-qq","TRCS-NQQ","508183","99999"
"","trcs-sgm","TRCSSPSM","508183","99999"
"","trcs-sgw","TRCF-NSW","508183","99999"
"","trcs-sm","TRCS-NSM","508183","99997"
"","trcs-sp","TRCF-NSM","508183","99998"
"","trcs-sq","TRCS-NSQ","508183","99998"
"","trcs-ss","TRCS-NSS","508183","99985"
"","trcs-sw","TRCS-NSW","508183","99997"
"","trcs-ws","TRCSSC2W","508183","0"
"","trcs-ww","TRCS-NWW","508183","99998"
"","trcs_1219a","RAK-TRP1","508183","134"
"","trcs_1219aa","RAK-TRP1","508183","119"
"","trcs_1219b","RAK-TRP2","508183","61"
"","trcs_1219bb","RAK-TRP2","508183","58"
"","trcs_1219c","RAK-TRP3","508183","71"
"","trcs_1219cc","RAK-TRP3","508183","70"
"","trcs_1219d","RAK-TRP4","508183","82"
"","trcs_1219dd","RAK-TRP4","508183","77"
"","trcs_1219e","RAK-TRP5","508183","67"
"","trcs_1219ee","RAK-TRP5","508183","71"
"","trcsspsm","TRCF-NMC","508183","99986"
"","trcsspsw","TRCF-NWC","508183","99991"
"","trf-disc4","TRF-NT4F","302623","0"
"","trf-mrn","","508058",""
"","trf-nt1f","TRF-NT1F","401612","0"
"","trf-nt2f","TRF-NT2F","401612","0"
"","trf-nt3f","TRF-NT3F","401612","99999"
"","trf-nt5f","TRF-NT5F","401612","99999"
"","trf-nt6f","TRF-NT6F","401612","99999"
"","trf-nt7f","TRF-NT7F","401612","99998"
"","trf-ss","","508058",""
"","trf-tmw","","302623",""
"","trf-tmxx"," ","302623",""
"","trf-txxx"," ","302623",""
"","trf2_1712_t","RAK-TRF2","401612","0"
"","trf_1219","","401612",""
"","trf_1219a","","401612",""
"","trfa","TRFA-WEQ","508057","0"
"","trfa-dc1","TRFA-DC1","401612","99998"
"","trfa-dc2","TRFA-DC2","401612","99999"
"","trfa-dc3","TRFA-DC3","401612","99999"
"","trfa-dc4","TRFA-DC4","401612","0"
"","trfa-weq","TRFA-WEQ","401612","0"
"","trht-nsx","TRHT-NS0","563689","99994"
"","trht-nwx","TRHT-NWX","563689","0"
"","trht-ss","TRHT2NSF","563689","99993"
"","trkp_1712_t","RAK-TRKP","215644","70"
"","trn3m_out17","FK-TRN3M","508183","0"
"","trn3m_out17_b","FK-TRN3M","508183","0"
"","trn3m_out17_c","FK-TRN3M","508183","0"
"","trn3s_out17","FK-TRN3S","508183","0"
"","trn3s_out17_b","FK-TRN3S","508183","0"
"","trn3s_out17_c","FK-TRN3S","508183","0"
"","trn3w_out17","FK-TRN3W","508183","0"
"","trn3w_out17_b","FK-TRN3W","508183","0"
"","trn3w_out17_c","FK-TRN3W","508183","0"
"","trne-d","TRNE-SWT","508183","99941"
"","trne-d-non","TRNECTPW","508183","5"
"","trne-d_m","TRNE-SRW","508183","99999"
"","trne-s","TRNE-SST","508183","99821"
"","trne-s-non","TRNECTPS","508183","5"
"","trne-s_m","TRNE-SRS","508183","99998"
"","trne-sd","TRNE-DMT","508183","99935"
"","trne-sd-non","TRNECTPM","508183","5"
"","trne-sd_m","TRNE-SRM","508183","99999"
"","trne35_m","TRNEM35D","508183","10"
"","trne35_s","TRNES35D","508183","10"
"","trne35_w","TRNEW35D","508183","10"
"","trne_1","TRNECKSS","508183","99999"
"","trne_2","TRNECKSM","508183","99999"
"","trne_3","TRNECKSW","508183","99999"
"","trnectbm","TRNECTBM","508183","99999"
"","trnectbm_teika","TRNECTBM","508183","5"
"","trnectbs","TRNECTBS","508183","99999"
"","trnectbs_teika","TRNECTBS","508183","5"
"","trnectbw","TRNECTBW","508183","99999"
"","trnectbw_teika","TRNECTBW","508183","5"
"","trnectsm","TRNECTPM","508183","99999"
"","trnectsm_teika","TRNECTPM","508183","5"
"","trnectss","TRNECTPS","508183","99999"
"","trnectss_teika","TRNECTPS","508183","5"
"","trnectsw","TRNECTPW","508183","99999"
"","trnectsw_teika","TRNECTPW","508183","5"
"","trpg_1712_t","RAK-TRPG","215644","18"
"","trpi_1712_t","RAK-TRPI","215644","19"
"","trs-3dpm","TRS-M35P","508183","99994"
"","trs-3dpm_ad","TRSL-NMX","508183","1"
"","trs-fc","","215663",""
"","trs-fzbn","TRS-FZBN","400757","99948"
"","trs-hypc","TRS-HYPC","215663","99999"
"","trs-igpc","TRS-IGPC","205582","99999"
"","trs-imbr","TRS-IMBR","551736","99999"
"","trs-knec","TRS-KNEC","205582","99759"
"","trs-knec_m","TRS-RNEC","205582","99998"
"","trs-krmf","TRS-KRMF","101801","1"
"","trs-m3dp"," ","508183","99999"
"","trs-mcsn","TRS-MCSN","208214","99984"
"","trs-s3dp","TRS-S35P","508183","99956"
"","trs-s3dp-sps","TRS-S35P","508183","10"
"","trs-s3dp_1","TRS-S35P","508183","10"
"","trs-s3dp_2","TRS-M35P","508183","10"
"","trs-s3dp_3","TRS-W35P","508183","10"
"","trs-s3dp_ad","TRSL-NSX","508183","0"
"","trs-w3dp","TRS-W35P","508183","99988"
"","trs-w3dp_ad","TRSL-NWX","508183","1"
"","trs35_sscv","","508183","1"
"","trs45","TRS45RSD","508183","0"
"","trs45-s","TRSL45SG","508183","99999"
