コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,在庫数
"","crf-hngk","CRF-03PP","215913","0"
"","crf-kats","150519CRF-3DK2","215913","0"
"","crf-knabe"," ","215913",""
"","crf-nabe","CRF-CF04","215913","0"
"","crf-nabe-non","","215913","1"
"","crf-nabs","150519CRF-3NR2","215913","0"
"","crf-nfst","CRF-NFST","101836","99892"
"","crf-nsxx","CRF-NSXX","401407","29"
"","crf-pers-ss","CRF-CFPT","215913","1"
"","crf-rakt","CRF-RAKT","101836","28"
"","crf-rakt1","CRF-RAKT","101858","27"
"","crf-rcpn","CRF-RCAR","200486","99961"
"","crf-rfyp","CRF-RFYP","215927","99999"
"","crf-rkbt","CRF-RKBT","215913","99999"
"","crf-rknb","CRF-RKNB","215908","0"
"","crf-rrbt","CRF-RRBT","215913","0"
"","crf-rrnb","CRF-RRNB","215913","0"
"","crf-rwbt","CRF-RWBT","215927","99999"
"","crf-ryos","150519CRF-3DR2","215913","0"
"","crf-tan","150519CRF-3D02","215927","0"
"","crf-tanknabe","CRF-YNAR","215908","99"
"","crf-tannabe","CRF-RKAR","559247","99999"
"","crf-tanrnabe","CRF-TNAR","215913","0"
"","crf-tgar","CRF-TGAR","215927","100"
"","crf-tkkn","CRF-03TT","215913","0"
"","crf-wk-set","CRFWKSET","559247","0"
"","crf1_1712_t","RAK-CRF1","215913","102"
"","crf_1612","","215913","1"
"","crf_1612kan","","215913","0"
"","crf_bh17","FK-10CRF","215927","27"
"","crf_btset","","215927","1"
"","crf_ma1","USCRFNAA","215913","25"
"","crf_mb1","USCRFNBA","215913","28"
"","crf_spe_2","CRFDXSP2","215927","192"
"","crf_sptest","","215913","0"
"","crf_wake","","215913","0"
"","crfbs","","215927","5"
"","crfd_out17","CRFDXFKR","215927","0"
"","crfd_out17_b","CRFDXFKR","215927","0"
"","crff","CRFF8980","559247","99995"
"","crff-99x","CRFF-99X","559247","0"
"","crff-ada","crff-ada","559247","0"
"","crff-fpn","CRFF-FPN","559247","48"
"","crff-ne4","CRFF-NE4","215927","0"
"","crff-ned","CRF-DFAR","401389","99996"
"","crff-nem","CRFF-5KR","215908","100"
"","crff-ner","CRFF-NER","215913","197"
"","crff-new","CRFF-3WA","559247","99999"
"","crff-nk1","CRFFFPNK","559247","0"
"","crff-nr1","CRFF-NW3","559247","1"
"","crff-nw1","CRFFSFDR","559247","0"
"","crff-nw3","CRFF-NW3","559247","0"
