コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,タグID,PC用キャッチコピー,モバイル用キャッチコピー,商品名,販売価格,表示価格,消費税,送料,個別送料,送料区分1,送料区分2,代引料,倉庫指定,商品情報レイアウト,注文ボタン,資料請求ボタン,商品問い合わせボタン,再入荷お知らせボタン,のし対応,PC用商品説明文,モバイル用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像URL,商品画像名（ALT）,動画,販売期間指定,注文受付数,在庫タイプ,在庫数,在庫数表示,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名,項目選択肢別在庫用残り表示閾値,RAC番号,サーチ非表示,闇市パスワード,カタログID,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,予約商品発売日,ポイント変倍率,ポイント変倍率適用期間,ヘッダー・フッター・レフトナビ,表示項目の並び順,共通説明文（小）,目玉商品,共通説明文（大）,レビュー本文表示,あす楽配送管理番号,サイズ表リンク,二重価格文言管理番号,カタログIDなしの理由,配送方法セット管理番号,白背景画像URL,メーカー提供情報表示
"","trht-nsx","TRHT-NS0","563689","","科学のチカラで驚きの保温力","科学のチカラで驚きの保温力","【正規品】トゥルースリーパー ホオンテック　シングル<br>ショップジャパン 掛け布団 寝具","19800","","0","1","","","","0","0","1","1","0","1","0","0","【ホオンテック掛け布団】<br>
<div class=""spec"">
<table width=""100%"" cellpadding=""5"" cellspacing=""0"" border=""1"" bordercolor=""#e9e9e9"">
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">セット内容</td>
<td>本体×1、取扱説明書×1</td>
</tr>
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">サイズ</td>
<td>シングルサイズ：幅1500×長さ2100mm</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">重量</td>
<td>シングルサイズ：約2.6kg</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">材質</td>
<td>[側生地]ポリエステル100%、[詰め物]ポリエステル100%</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">製造国</td>
<td>中国製</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">送料</td>
<td>0円（税抜）</td>
</tr>
</table>

<br><br>

【セット特典/低反発まくら】<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""0"" border=""1"" bordercolor=""#e9e9e9"">
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">セット特典</td>
<td>セット内容/本体（カバー付き）×1　<br>
※透明ビニールにて<br>
サイズ/240mm×380mm×70mm<br>
材質/本体：ウレタンフォーム、枕側地（アウター）：コットン80％、ポリエステル20％<br>
製造国/本体：日本製、枕側地：中国製<br>
</td>
</tr>

</table>
</div><br>","<hr>
●セット内容/本体×1、取扱説明書×1<br>
●サイズ/（シングルサイズ：幅1500×長さ2100mm<br>
●重量/シングルサイズ：約2.6kg<br>
●材質/[側生地]ポリエステル100%、[詰め物]ポリエステル100%<br>
●製造国/中国製<br>
●送料/0円（税抜）<br>
●セット特典/低反発まくら<br>セット内容/本体（カバー付き）×1　※透明ビニールにて<br>
サイズ/240mm×380mm×70mm<br>
材質/本体：ウレタンフォーム、枕側地（アウター）：コットン80％、ポリエステル20％<br>
製造国/本体：日本製、枕側地：中国製<br>
<hr>","<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/sp_common.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/day.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/ss.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/sale.css"">

<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/spkv01.jpg"" width=""100%"">
<br><br>

<!--CPバナー-->
<div　　　　　　　　　　　　　　　 class=""trht_coupon"">
<a href=""https://coupon.rakuten.co.jp/getCoupon?getkey=QlFFVC1ORDBELVFPTUgtVDY4VA--&rt="" target=""_blank"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_c_3000.jpg"" width=""100%""></a>
</div　　　　　　　　　　　　　　　>
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/spcp2_0213.jpg"" width=""100%""><br>
<br>
<!--CPバナー-->

<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_01.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_02.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_03.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_04.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_05.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_06.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_07.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_08.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_09.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_10.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_11.jpg"" width=""100%""><br>
<br>
<!--CPバナー-->
<div　　　　　　　　　　　　　　　 class=""trht_coupon"">
<a href=""https://coupon.rakuten.co.jp/getCoupon?getkey=QlFFVC1ORDBELVFPTUgtVDY4VA--&rt="" target=""_blank"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_c_3000.jpg"" width=""100%""></a>
</div　　　　　　　　　　　　　　　>
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/spcp2_0213.jpg"" width=""100%"">
<!--CPバナー-->
<br>

<a href=""https://item.rakuten.co.jp/shopjapan/trht-nsx/#itemSpecification"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_tan_1211.jpg"" width=""100%""></a>

<a href=""https://item.rakuten.co.jp/shopjapan/trht-ss/#itemSpecification"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_sc_1211.jpg"" width=""100%""></a>

<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trs/2hosyou_sp.jpg"" width=""100%"">

<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000425/"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp/lineup_bnr_950_2.jpg"" width=""100%""></a>


<!--SPレビュー-->
<a　　　　　　　　　　　　　　　 class=""review_coupon_sp"">
</a　　　　　　　　　　　　　　　><br>
<!--SPレビュー-->

<hr>
●セット内容/本体×1、取扱説明書×1<br>
●サイズ/シングルサイズ：幅1500×長さ2100mm<br>
●重量/シングルサイズ：約2.6kg<br>
●材質/[側生地]ポリエステル100%、[詰め物]ポリエステル100%<br>
●製造国/中国製<br>
●送料/0円（税抜）<br>
●セット特典/低反発まくら<br>セット内容/本体（カバー付き）×1<br>　
※透明ビニールにて<br>
サイズ/240mm×380mm×70mm<br>
材質/本体：ウレタンフォーム、枕側地（アウター）：コットン80％、ポリエステル20％<br>
製造国/本体：日本製、枕側地：中国製<br>
<hr>","","https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trht_s_03.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/scp_1208.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trhf_04.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trhf_02.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trhf_03.jpg https://image.rakuten.co.jp/shopjapan/cabinet/share/promise_1607.jpg","【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具","","","2","1","99972","0","","","","199614-0010003945","0","","","1","0","27","","","","","自動選択","自動選択","自動選択","自動選択","自動選択","2","","","","5","","",""
"","trht-ss","TRHT2NSF","563689","","科学のチカラで驚きの保温力
","科学のチカラで驚きの保温力","【正規品】トゥルースリーパー ホオンテック　もう1枚セット　シングル2枚セット<br>ショップジャパン 掛け布団 寝具","29600","","0","1","","","","0","0","1","1","0","1","0","0","【ホオンテック掛け布団】<br>
<div class=""spec"">
<table width=""100%"" cellpadding=""5"" cellspacing=""0"" border=""1"" bordercolor=""#e9e9e9"">
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">セット内容</td>
<td>本体×2、取扱説明書×1</td>
</tr>
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">サイズ</td>
<td>シングルサイズ：幅1500×長さ2100mm</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">重量</td>
<td>シングルサイズ：約2.6kg</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">材質</td>
<td>[側生地]ポリエステル100%、[詰め物]ポリエステル100%</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">製造国</td>
<td>中国製</td>
</tr>
<tr valign=""top"">
<td bgcolor=""#fffeef"">送料</td>
<td>0円（税抜）</td>
</tr>
</table>

<br><br>

【セット特典/低反発まくら】<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""0"" border=""1"" bordercolor=""#e9e9e9"">
<tr valign=""top"">
<td width=""30%"" bgcolor=""#fffeef"">セット特典</td>
<td>セット内容/本体（カバー付き）×2　<br>
※透明ビニールにて<br>
サイズ/240mm×380mm×70mm<br>
材質/本体：ウレタンフォーム、枕側地（アウター）：コットン80％、ポリエステル20％<br>
製造国/本体：日本製、枕側地：中国製<br>
</td>
</tr>

</table>
</div><br>","<hr>
●セット内容/本体×2、取扱説明書×1<br>
●サイズ/（シングルサイズ：幅1500×長さ2100mm<br>
●重量/シングルサイズ：約2.6kg<br>
●材質/[側生地]ポリエステル100%、[詰め物]ポリエステル100%<br>
●製造国/中国製<br>
●送料/0円（税抜）<br>
●セット特典/低反発まくら<br>セット内容/本体（カバー付き）×2　※透明ビニールにて<br>
サイズ/240mm×380mm×70mm<br>
材質/本体：ウレタンフォーム、枕側地（アウター）：コットン80％、ポリエステル20％<br>
製造国/本体：日本製、枕側地：中国製<br>
<hr>","<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/sp_common.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/day.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/ss.css"">
<link rel=""stylesheet""　　　　　　　　　　　　　　　="""" href=""https://www.rakuten.ne.jp/gold/shopjapan/css/sale.css"">


<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/spkv01.jpg"" width=""100%"">
<br><br>

<!--CPバナー-->
<div　　　　　　　　　　　　　　　 class=""trht_coupon"">
<a href=""https://coupon.rakuten.co.jp/getCoupon?getkey=QlFFVC1ORDBELVFPTUgtVDY4VA--&rt="" target=""_blank"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_c_3000.jpg"" width=""100%""></a>
</div　　　　　　　　　　　　　　　>
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/spcp2_0213.jpg"" width=""100%""><br>
<br>
<!--CPバナー-->

<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_01.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_02.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_03.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_04.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_05.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_06.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_07.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_08.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_09.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_10.jpg"" width=""100%"">
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/splp_11.jpg"" width=""100%""><br>
<br>
<!--CPバナー-->
<div　　　　　　　　　　　　　　　 class=""trht_coupon"">
<a href=""https://coupon.rakuten.co.jp/getCoupon?getkey=QlFFVC1ORDBELVFPTUgtVDY4VA--&rt="" target=""_blank"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_c_3000.jpg"" width=""100%""></a>
</div　　　　　　　　　　　　　　　>
<img ="""" src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/spcp2_0213.jpg"" width=""100%"">
<!--CPバナー-->
<br>

<a href=""https://item.rakuten.co.jp/shopjapan/trht-nsx/#itemSpecification"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_tan_1211.jpg"" width=""100%""></a>

<a href=""https://item.rakuten.co.jp/shopjapan/trht-ss/#itemSpecification"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trhf/sp_sc_1211.jpg"" width=""100%""></a>

<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trs/2hosyou_sp.jpg"" width=""100%"">

<a href=""https://item.rakuten.co.jp/shopjapan/c/0000000425/"">
<img src=""https://image.rakuten.co.jp/shopjapan/cabinet/trsp/lineup_bnr_950_2.jpg"" width=""100%""></a>


<!--SPレビュー-->
<a　　　　　　　　　　　　　　　 class=""review_coupon_sp"">
</a　　　　　　　　　　　　　　　><br>
<!--SPレビュー-->

<hr>
●セット内容/本体×2、取扱説明書×1<br>
●サイズ/シングルサイズ：幅1500×長さ2100mm<br>
●重量/シングルサイズ：約2.6kg<br>
●材質/[側生地]ポリエステル100%、[詰め物]ポリエステル100%<br>
●製造国/中国製<br>
●送料/0円（税抜）<br>
●セット特典/低反発まくら×2<br><br>

セット内容/低反発 枕本体（カバー付き）×2<br>　
※透明ビニールにて<br>
サイズ/240mm×380mm×70mm<br>
材質/本体：ウレタンフォーム、枕側地（アウター）：コットン80％、ポリエステル20％<br>
製造国/本体：日本製、枕側地：中国製<br>
<hr>","","https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trht_ss_03.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/scp_1208.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trhf_04.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trhf_02.jpg https://image.rakuten.co.jp/shopjapan/cabinet/trhf/trhf_03.jpg https://image.rakuten.co.jp/shopjapan/cabinet/share/promise_1607.jpg","【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具 【正規品】トゥルースリーパーホオンテックシングルショップジャパン掛け布団寝具","","","2","1","99958","0","","","","199614-0010004009","0","","","1","0","27","","","","","自動選択","自動選択","自動選択","自動選択","自動選択","2","","","","5","","",""
